ISO8859-2
¹latati|1
-|¹latati (pogovorno)|otipavati|tipati
¹levast|1
-|¹levast (slab¹alno)|bojazljiv|bojeè|plah|plahoten|ustra¹ljiv
¹logati|1
-|¹logati (pogovorno)|prerokovati|vede¾evati
¹ment|1
-|¹ent|hudiè|hudiman|hudimar|hudir|parkelj|peklen¹èek|rogaè|satan|sku¹njavec|vrag|vragec|vranè|zlobec|zlodej
¹minkati|1
-|¹minkati (pogovorno)|lièiti
¹ofer|1
-|voznik
¹ofirati|1
-|voziti
¹olmo¹ter|1
-|uèitelj
¹otori¹èe|2
-|kamp
-|tabori¹èe
¹otoriti|1
-|taboriti
¹pan¹èina|1
-|¹panski jezik
¹panski jezik|1
-|¹pan¹èina
¹pargelj|1
-|belu¹
¹pargljev|1
-|¹pargljev (pogovorno)|belu¹ev
¹pec|1
-|¹peca|¹pecar|¹peckahla|to¾ljivec
¹peca|1
-|¹pec|¹pecar|¹peckahla|to¾ljivec
¹pecar|1
-|¹pec|¹peca|¹peckahla|to¾ljivec
¹pecerist|1
-|jestvinar
¹peckahla|1
-|¹pec|¹peca|¹pecar|to¾ljivec
¹pelunka|1
-|beznica
¹picelj|1
-|¹picelj (ekspresivno)|¹pijon|agent|ogleduh (slab¹alno)|vohljaè (ekspresivno)|vohun
¹pièiti|1
-|¹iliti|ostriti
¹pijon|1
-|¹picelj (ekspresivno)|agent|ogleduh (slab¹alno)|vohljaè (ekspresivno)|vohun
¹pijona¾a|1
-|vohunstvo
¹piker|1
-|napovedovalec|spiker
¹pirovec|1
-|¹karjevec|¹karnica|¹karnik|lemez|ro¾enica
¹portnik|1
-|fizkulturnik|telovadec
¹tedljiv|1
-|varèen
¹tedljivost|1
-|varènost
¹tednja|1
-|varèevanje
¹tempelj|1
-|¹tempelj (pogovorno)|¾ig|peèat
¹terna|1
-|¹terna (nizko)|cisterna|kapnica|vodnjak
¹tevilnost|1
-|pluralnost
¹timunga|1
-|¹timunga (pogovorno)|ambient|obèutje|ozraèje|razpolo¾enje
¹tirikoten|1
-|¹tiristran|èetverokoten|tetragonalen
¹tirikotnik|1
-|èetverokotnik|tetragon
¹tirikraten|1
-|èetveren
¹tirino¾ec|1
-|èetverono¾ec
¹tiristopni verz|1
-|èetveromer|tetrameter
¹tiristran|1
-|¹tirikoten|èetverokoten|tetragonalen
¹tirivrstnik|1
-|kri¾avec
¹toparica|1
-|èasomernica
¹torast|1
-|¹kornjast (ekspresivno)|¹torast (slab¹alno)|¹torkljast (ekspresivno)|bukov (ekspresivno)|coklast|neokreten|neroden|okoren|te¾konog
¹torija|1
-|¹torija (pogovorno)|bajka|èenèa|fabula|izmi¹ljenina|izmi¹ljija|izmi¹ljotina|kvanta|marnja
¹torklja|1
-|¾abogolt (ekspresivno)
¹torkljast|1
-|¹kornjast (ekspresivno)|¹torast (slab¹alno)|¹torkljast (ekspresivno)|bukov (ekspresivno)|coklast|neokreten|neroden|okoren|te¾konog
¹tos|2
-|¹ala|¹tos (¾argon)|vic
-|¹tos (¾argon)|potegav¹èina
¹toser|1
-|¹aljivec|¹toser (¾argon)|neresne¾
¹trajk|1
-|¹trajk (pogovorno)|stavka
¹trajkar|1
-|¹trajkar (pogovorno)|stavkar
¹trajkati|1
-|¹trajkati (pogovorno)|stavkati
¹trajkoven|1
-|¹trajkoven (pogovorno)|stavkoven
¹tudiranec|1
-|inteligent|iz¹olanec|izobra¾enec
¹tuka|1
-|¹tuka (¾argon)|strmoglavec
¹u¹njati|1
-|¹e¹ljati
¹u¹tar|1
-|¹u¹tar (pogovorno)|èevljar
¹uko|1
-|¹uko (¾argon)|varnosten
¹unka|1
